Domain,Feature Name,Canonical Owner,Primary User / Actor,Business Outcome,Entry Point / Surface,Short Description,Variants / Markets,Dependencies / Related Flows,Service / Repository,DB - Collections,Evidence Source,Criticality,Usage Confidence,Disposition,Open Questions,Reviewer,Review Status
Corpsec,View CDD Questionnaire History,,Compliance Officer / Admin User,Track Customer Due Diligence refresh events and know whether the CDD questionnaire is complete,Admin App > Company Overview > Company Info tab,"Company Info tab (SG-only) shows chronological CDD refresh events with date and questionnaire completion status. Tab is not present in HK, UK, or AU admin.",SG,,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,"Confirm whether HK, UK, AU have an equivalent CDD history view accessible elsewhere in their admin flows.",,Draft
Corpsec,Manage Directors,,Corpsec Officer,Maintain an accurate and current record of company directors as required by company law,Admin App > Company Overview > People & Entities tab,Add and manage company directors. Present in all four regions. Director record includes Director ID field in AU.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Manage Nominee Directors,,Corpsec Officer,Maintain an accurate and current record of company directors as required by company law,Admin App > Company Overview > People & Entities tab,"Add and manage nominee directors for a company. SG-only section; this entity type is not present in the HK, UK, or AU People & Entities pages.",SG,,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,Confirm HK/UK/AU do not use nominee directors or capture them elsewhere.,,Draft
Corpsec,Manage Company Secretaries,,Corpsec Officer,Record the appointed company secretary to satisfy statutory requirements,Admin App > Company Overview > People & Entities tab,Add and manage company secretaries. SG and HK offer two actions: Add Company Secretary (external) and Add Sleek Secretary (Sleek-appointed). UK offers Add Company Secretary only. AU has no Company Secretaries section in People & Entities.,"SG, HK, UK",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,Confirm AU has no secretary requirement or if it is tracked elsewhere.,,Draft
Corpsec,Manage Individual Shareholders,,Corpsec Officer,Maintain the register of members with accurate individual shareholder data for regulatory compliance,Admin App > Company Overview > People & Entities tab,Section: Company's Individual Shareholders with Expand All and Add Individual Shareholder actions. Shareholder records can be expanded for detail.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Manage Corporate Shareholders,,Corpsec Officer,Maintain the register of corporate entity shareholders for regulatory compliance,Admin App > Company Overview > People & Entities tab,Section: Company's Corporate Shareholders with Expand All and Add Corporate Shareholder actions.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Manage Registrable Controllers,,Compliance Officer / Corpsec Officer,Fulfil the statutory obligation to record persons with significant control over the company,Admin App > Company Overview > People & Entities tab,Add and manage persons with significant control (Registrable Controllers) as required by Singapore company law. This section is SG-only. HK has a structurally different equivalent: Significant Controllers Register + Designated Representatives (separate feature rows).,SG,,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,Confirm HK Significant Controllers Register is the statutory equivalent of SG Registrable Controllers.,,Draft
Corpsec,Manage Ultimate Beneficial Owners (UBOs),,Compliance Officer / Corpsec Officer,Record ultimate beneficial owners for AML and KYC purposes,Admin App > Company Overview > People & Entities tab,Section: Company's Ultimate Beneficial Owners with Add UBO action.,"SG, HK",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,UBO section absent in UK and AU admin — confirm whether UBO data is captured in those regions via a different mechanism.,,Draft
Corpsec,Manage Company Admins & Transfer Ownership,,Admin User / Corpsec Officer,Control who has administrative access to the company in the client portal and enable ownership handover,Admin App > Company Overview > People & Entities tab,Section: Company's Admins with Add Company Admin action and Transfer Ownership action. Ownership transfer supports change-of-agent workflows.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Manage Standard Users,,Admin User,Grant and track standard portal access for non-admin company users,Admin App > Company Overview > People & Entities tab,Section: Company's Standard Users with Add Standard User action.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,Medium,High,Must Keep,,,Draft
Corpsec,Manage Share Classes,,Corpsec Officer,Maintain an accurate share register with class-level details required for statutory filings,Admin App > Company Overview > Shares tab,Add / edit / remove share classes. Table columns: Share Name / Class of Shares / Currency / Total Number of Shares / Total Issued Shares / Total % of Shares / Total Paid-Up Share Capital / Type of issue shares. Default Ordinary class pre-created on new companies.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,Share class structure assumed consistent across regions — verify HK and AU share class fields match SG.,,Draft
Corpsec,View & Manage Company Deadlines,,Corpsec Officer / Admin User,Track regulatory filing deadlines per financial year to ensure timely compliance,Admin App > Company Overview > Deadlines tab,"Track regulatory filing deadlines for a company. Structure differs by region. SG: FYE-based table listing deadlines with Name / Regulatory Due Date / Completed On / Filing Done columns, plus subscription panel. HK: AGM-focused layout with fields for Deadline to hold AGM / Extended Deadline / Date AGM held / Deadline to file Annual Return / Extended Deadline / Date Annual Return Filed — all editable with direct date submission. Deadlines tab is absent in UK and AU.","SG, HK",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,HK deadline management is direct date entry rather than a workflow trigger — confirm whether the HK flow integrates with any downstream workflow.,,Draft
Corpsec,Start Deadlines Workflow,,Corpsec Officer,Trigger the structured compliance workflow for a financial year to drive timely filing,Admin App > Company Overview > Deadlines tab > START NOW button,Initiates the structured deadlines compliance workflow for a selected FYE period via the START NOW button. SG-only; HK manages deadlines through direct date submission without a workflow trigger. UK and AU have no Deadlines tab.,SG,,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,Confirm SG-only status. Does the workflow trigger integrate with Camunda?,,Draft
Corpsec,Manage Significant Controllers Register,,Corpsec Officer,Fulfil HK statutory obligation to identify and record persons with significant control over the company,Admin App > Company Overview > People & Entities tab – Significant Controllers Register section,HK-specific section replacing SG's Registrable Controllers. Add and manage Significant Controllers as required by the Companies Ordinance (Cap. 622). Records name and relevant details of each controller.,HK,,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,Confirm this is the direct statutory equivalent of SG Registrable Controllers.,,Draft
Corpsec,Manage Designated Representatives,,Corpsec Officer,"Record the designated representative responsible for maintaining the Significant Controllers Register, as required by HK company law",Admin App > Company Overview > People & Entities tab – Designated Representatives section,HK-only section. Add and manage Designated Representatives who are authorised to assist law enforcement in inspecting the Significant Controllers Register.,HK,,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Manage Sales Point of Contact,,Admin User / Sales,Capture the client-side sales contact for a UK company to support account management and renewals,Admin App > Company Overview > People & Entities tab – Sales point of contact section,"UK-only section at the bottom of People & Entities. Records the Name, Email, and Phone of the company's sales point of contact.",UK,,"sleek-back, sleek-website",sleek,Live app walkthrough,Low,High,Must Keep,Confirm whether this field is used operationally or for CRM purposes only.,,Draft
Corpsec,Manage Individual Trust Shareholders,,Corpsec Officer,"Record individual beneficiaries holding shares via a trust structure, as required under Australian corporate law",Admin App > Company Overview > People & Entities tab – Individual Trust Shareholders section,"AU-only entity type. Add and manage individual trust shareholders. Supports AU trust structures not applicable in SG, HK, or UK.",AU,,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Manage Corporate Trust Shareholders,,Corpsec Officer,"Record corporate entities holding shares via a trust structure, as required under Australian corporate law",Admin App > Company Overview > People & Entities tab – Corporate Trust Shareholders section,"AU-only entity type. Add and manage corporate trust shareholders. Supports AU trust structures not applicable in SG, HK, or UK.",AU,,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Manage Public Officers,,Corpsec Officer,Record the company's Public Officer as required by Australian tax law (a person responsible for company tax obligations),Admin App > Company Overview > People & Entities tab – Public Officers section,AU-only entity type. Add and manage Public Officers with Driver License No. and Tax File No. fields. A Public Officer is a legal requirement for Australian companies under the Income Tax Assessment Act.,AU,,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Manage AU Tax Registrations,,Corpsec Officer / Admin User,"Record and track the company's Australian tax registration elections (ABN, GST, PAYGW, FBT) to support compliance and onboarding",Admin App > Company Overview > Tax tab (AU only),AU-only tab. Four registration sections: ABN Registration (first-time in Australia flag) / Goods & Services Tax (GST) / Pay As You Go Withholding (PAYGW) / Fringe Benefit Tax (FBT). Each is a Yes/No toggle capturing the client's registration preference.,AU,,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,Confirm whether registration elections trigger downstream workflows or are record-only.,,Draft
Corpsec,View Workflows Related to Company,,Admin User / Corpsec Officer,Give admins quick visibility of any active or completed workflows linked to a specific company without leaving the company overview,Admin App > Company Overview > Overview tab – Workflows related to the company section,Inline section at the bottom of the Overview tab listing all workflows associated with the company (e.g. Accounting Onboarding V2) with their status (IN PROGRESS / DONE) and a view link. Present in all four regions.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,Medium,High,Must Keep,,,Draft
Corpsec,Browse Company File Store,,Corpsec Officer / Admin User,Give staff direct access to all documents stored under a company without leaving the admin app,Admin App > Files > Select Company,Company-scoped file browser. Admin selects a company via dropdown to view its folder/file hierarchy. Supports folder navigation with breadcrumb path. Requires company selection before any files are shown.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Upload Files to Company File Store,,Corpsec Officer / Admin User,Store client documents centrally within the company's file store for easy access and retrieval,Admin App > Files > Select Company > UPLOAD button,Upload one or more files to the currently selected folder in the company's file store.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Create Folder in Company File Store,,Corpsec Officer / Admin User,Organise company documents into a structured folder hierarchy for efficient retrieval,Admin App > Files > Select Company > NEW FOLDER button,Create a new folder within the currently selected path in the company's file store.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,Medium,High,Must Keep,,,Draft
Corpsec,Download & Delete Company Files,,Corpsec Officer / Admin User,Retrieve or remove individual files from the company's document store,Admin App > Files > Select Company > file-level actions (download / delete),Download or delete individual files from the company's file store. Actions are available per file row.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Search Files in Company File Store,,Corpsec Officer / Admin User,Quickly locate specific documents within a large company file store without manual folder browsing,Admin App > Files > Select Company > search bar,Search for files by name within the company's file store.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,Medium,High,Must Keep,,,Draft
Corpsec,Generate Standard Folder Structure,,Corpsec Officer,"Rapidly provision a consistent, regulation-appropriate folder layout for new companies without manual folder creation",Admin App > Files > Select Company > GENERATE STANDARD FOLDER STRUCTURE button,Creates a predefined set of folders appropriate for the company's region. Template differs by market: HK creates 7 folders; UK creates 2 folders; AU creates 7 ASIC-aligned folders. SG folder set to be confirmed.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,Medium,High,Must Keep,Confirm SG folder template contents and count. Confirm whether folder templates are configurable or hardcoded per region.,,Draft
Corpsec,Browse & Manage Company Mailroom,,Corpsec Officer / Admin User,Give staff access to physical mail and documents received on behalf of a company via a centralised mailroom view,Admin App > Mailroom > Select Company,"Company-scoped mailroom browser with identical file browser UI to the Files section. Admin selects a company to view and manage received mail/documents. Supports browse, upload, create folder, download, delete, search, and generate standard folder structure — all inherited from the Files section. Unique addition: NOTIFY OWNER button.","SG, HK, UK, AU",Files section (shared UI),"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Notify Company Owner (Mailroom),,Corpsec Officer / Admin User,Alert the client company's admin that new mail or documents have been received and added to their mailroom,Admin App > Mailroom > Select Company > NOTIFY OWNER button,Sends a notification to the company owner about documents in the mailroom. This button is unique to the Mailroom section and is absent in the Files section.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,Medium,High,Must Keep,Confirm what channel the notification is sent via (email / in-app). Confirm whether notification content is templated or customisable.,,Draft
Corpsec,View & Search Requests List,,Corpsec Officer / Admin User,Give staff a single view of all corpsec requests to track and manage them efficiently,Admin App > Requests,"Paginated list of all requests. Supports search by company name and status filters. Columns include company name, request type, status, and created date.","SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Create New Request,,Corpsec Officer / Admin User,Initiate a new corpsec document request for a company from a standard template,Admin App > Requests > NEW REQUEST button,Create a new corpsec request by selecting a company and a request template. Populates the request with default document data from the template.,"SG, HK, UK, AU",Request Templates,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Update Request Document Data,,Corpsec Officer,Keep the structured data fields of a request document accurate as corporate details change,Admin App > Request detail > Update Document Data,"Edit structured form fields (e.g. title, parties, dates, addresses) for the request's document. Changes are saved to the request record.","SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Update Request Status,,Corpsec Officer / Admin User,Advance a request through its lifecycle and optionally alert the client of the change,Admin App > Request detail > Update Status,Change the request status (e.g. Draft → Pending → Completed). Includes an option to notify the company when the status is updated.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Edit Request Document Content,,Corpsec Officer,Directly author or correct the full document body for a request before signing or delivery,Admin App > Request detail > Edit Document (rich text editor),Rich text editor for editing the full document content of a request. Supports formatted text editing and live document preview.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Save Request as PDF,,Corpsec Officer / Admin User,Export a finalised request document as a formatted PDF for offline use or client delivery,Admin App > Request detail > SAVE AS PDF button,Generates and downloads a PDF version of the request document.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Send Request to SleekSign,,Corpsec Officer / Admin User,Route a completed document to the SleekSign e-signature platform for client or internal signing,Admin App > Request detail > SEND TO SLEEKSIGN button,Sends the request document to SleekSign for electronic signature. Available on qualifying requests.,"SG, HK, UK, AU",SleekSign,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,"Confirm whether SleekSign integration is active in all 4 regions (SG, HK, UK, AU) or SG-only.",,Draft
Corpsec,View Document Templates List,,Corpsec Officer / Admin User,Browse all available document templates for the region to identify what is available for use,Admin App > Documents,Paginated list of document templates showing template name and actions. Content is region-specific.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Create Document Template,,Corpsec Officer / Admin User,Author a new reusable document template to standardise document production,Admin App > Documents > CREATE TEMPLATE button,Create a new document template with editable content and metadata.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Generate Document from Template,,Corpsec Officer / Admin User,Instantiate a document from an existing template for a specific company or request,Admin App > Documents > Generate action (per template row),Produces a document instance from a selected template.,"SG, HK, UK, AU",Request Templates,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Edit Document Template,,Corpsec Officer / Admin User,Maintain and update existing document templates to keep them current and accurate,Admin App > Documents > Edit action (per template row),Edit the content and metadata of an existing document template.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Delete Document Template,,Corpsec Officer / Admin User,Remove obsolete or incorrect document templates to keep the template library clean,Admin App > Documents > Delete action (per template row),Delete an existing document template from the system.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,Medium,High,Must Keep,,,Draft
Corpsec,View Request Templates List,,Corpsec Officer / Admin User,Browse all configured request templates for the region to understand available corpsec workflows,Admin App > Request Templates,"Paginated list of request templates showing Name, Document Template, Visible flag (Yes/No), and Created At. Content is region-specific: SG has ~215 templates, HK has ~139 (including Chinese-language entries), UK has 11, AU has 4.","SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,HK templates include Chinese-language names — confirm whether language is user-selectable or template-driven.,,Draft
Corpsec,Create Request Template,,Corpsec Officer / Admin User,Author a new request template to standardise and streamline corpsec service workflows,Admin App > Request Templates > NEW REQUEST TEMPLATE button,"Create a new request template specifying name, linked document template, and visibility setting (visible to clients or internal only).","SG, HK, UK, AU",Document Templates,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Edit Request Template,,Corpsec Officer / Admin User,Update an existing request template to keep workflows aligned with current requirements,Admin App > Request Templates > Edit action (per template row),"Modify the name, document template link, or visibility setting of an existing request template.","SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,,,Draft
Corpsec,Remove Request Template,,Corpsec Officer / Admin User,Delete obsolete request templates to prevent staff from using outdated workflows,Admin App > Request Templates > Remove action (per template row),Remove a request template from the system.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,Medium,High,Must Keep,,,Draft
Corpsec,View Auto-sign Employee List,,Corpsec Officer / Admin User,Review which employees are configured and enabled for automated document signing,Admin App > Auto-Sign Configuration,"Displays a table of all employees configured for auto-sign with columns: Name/Email, Role (Corp Sec / Corp Sec Admin / Nominee Director), and Automated Signature toggle status. SG shows ~35 employees; HK shows ~14 employees.","SG, HK",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,UK and AU unverified — sessions expired before audit; confirm whether Auto-sign Configuration exists in UK and AU.,,Draft
Corpsec,Add Employees to Auto-sign Configuration,,Corpsec Officer / Admin User,Onboard new Sleek employees into the auto-sign system so their signatures can be applied automatically to qualifying documents,Admin App > Auto-Sign Configuration > ADD EMPLOYEES button,"Adds new Sleek employees to the auto-sign configuration list, making them eligible for automated signature assignment on company documents.","SG, HK",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,UK and AU unverified — sessions expired before audit.,,Draft
Corpsec,Toggle Automated Signature per Employee,,Corpsec Officer / Admin User,Enable or disable automated signing for individual employees to control which staff can sign on behalf of clients,Admin App > Auto-Sign Configuration > Automated Signature toggle (per employee row),"Per-employee on/off toggle to enable or disable automated signature. When enabled, the employee's signature can be automatically applied to qualifying documents without manual intervention.","SG, HK",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,"UK and AU unverified — sessions expired before audit. Confirm what triggers automated signature application (document type, workflow step, request template, etc.).",,Draft
Corpsec,Filter Auto-sign Employee List,,Corpsec Officer / Admin User,Quickly find specific employees in the auto-sign configuration without scrolling through the full list,"Admin App > Auto-Sign Configuration > column filter icons (Name, Role, Automated Signature)","Filter the auto-sign employee list by Name of Employees, Role, or Automated Signature status using the per-column filter icons.","SG, HK",,"sleek-back, sleek-website",sleek,Live app walkthrough,Low,High,Must Keep,UK and AU unverified — sessions expired before audit.,,Draft
Corpsec,Select Company & Workflow for AR Filing,,Corpsec Officer / Admin User,Quickly locate a specific company's active Annual Return workflow without navigating through the company list,Admin App > Corp Sec > AR Filing,Dedicated AR Filing page (Corp Sec > AR Filing in SG sidebar; accessible via URL in HK). Corpsec officer selects a company via searchable dropdown — a 'Go to Company' shortcut link appears on selection. The 'Select Workflow' dropdown then populates with the company's active Camunda AGM & AR deadlines workflows (auto-selects if only one exists).,"SG, HK",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,Corp Sec nav section is present in SG sidebar but absent from HK sidebar — the /admin/corpsec/ar-filing/ URL loads in HK but is not surfaced in HK navigation. Confirm whether this is intentional. UK and AU unverified — sessions expired before audit.,,Draft
Corpsec,View AR Filing Source Documents,,Corpsec Officer / Admin User,Review which documents have been auto-generated or linked by the AR workflow so the corpsec team can prepare the filing package,Admin App > Corp Sec > AR Filing > Source Documents panel,"After selecting a company and workflow, a 'Source Documents' panel lists all documents associated with the AR workflow (auto-populated from the Camunda workflow). A 'Go To Workflow' shortcut link is available to navigate directly to the full workflow detail. Empty state: 'No AR filing files found for this workflow.'","SG, HK",Camunda Workflows / Deadlines workflow,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,"UK and AU unverified — sessions expired before audit. Confirm what events cause source documents to populate (e.g. workflow task completion, document generation step).",,Draft
Corpsec,Manually Upload AR Filing Documents,,Corpsec Officer / Admin User,Supplement the auto-generated source documents with additional documents required for the Annual Return filing that are not produced by the workflow,Admin App > Corp Sec > AR Filing > Manually Uploaded Documents panel > Upload Documents button,"A separate 'Manually Uploaded Documents' panel allows corpsec to upload any supplementary documents needed for the AR filing that are not automatically generated by the workflow. Helper text: 'If some documents are not in the list, you can manually upload them.'","SG, HK",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,UK and AU unverified — sessions expired before audit.,,Draft
